ip,method,status
192.168.1.1,GET,200
192.168.1.2,GET,200
192.168.1.3,POST,401
192.168.1.3,POST,401
192.168.1.3,POST,401
192.168.1.4,GET,200
192.168.1.5,POST,200
192.168.1.6,DELETE,403
192.168.1.7,GET,404
192.168.1.8,PUT,200
192.168.1.9,GET,500
192.168.1.10,POST,201
192.168.1.11,GET,200
192.168.1.12,POST,401
192.168.1.12,POST,401
192.168.1.12,POST,401
192.168.1.13,DELETE,200
192.168.1.14,GET,404
192.168.1.15,PUT,403
192.168.1.16,GET,200
192.168.1.17,POST,500
192.168.1.18,GET,200
192.168.1.19,PATCH,200
192.168.1.20,GET,403
10.0.0.1,GET,200
10.0.0.2,POST,201
10.0.0.3,GET,404
10.0.0.4,POST,401
10.0.0.4,POST,401
10.0.0.4,POST,401
10.0.0.4,POST,401
10.0.0.5,DELETE,200
10.0.0.6,PUT,200
10.0.0.7,GET,500
10.0.0.8,PATCH,200
10.0.0.9,GET,403
10.0.0.10,POST,201
10.0.0.11,GET,200
10.0.0.12,DELETE,403
10.0.0.13,GET,404
10.0.0.14,POST,200
10.0.0.15,PUT,500
10.0.0.16,GET,200
10.0.0.17,POST,401
10.0.0.17,POST,401
10.0.0.18,GET,200
10.0.0.19,PATCH,404
10.0.0.20,DELETE,200
172.16.0.1,GET,200
172.16.0.2,POST,201
172.16.0.3,GET,404
172.16.0.4,PUT,200
172.16.0.5,DELETE,403
172.16.0.6,GET,500
172.16.0.7,POST,401
172.16.0.7,POST,401
172.16.0.7,POST,401
172.16.0.8,GET,200
172.16.0.9,PATCH,200
172.16.0.10,GET,404
172.16.0.11,POST,200
172.16.0.12,DELETE,200
172.16.0.13,GET,403
172.16.0.14,PUT,201
172.16.0.15,GET,200
172.16.0.16,POST,500
172.16.0.17,GET,200
172.16.0.18,DELETE,404
172.16.0.19,PATCH,200
172.16.0.20,GET,403
203.0.113.1,GET,200
203.0.113.2,POST,401
203.0.113.2,POST,401
203.0.113.2,POST,401
203.0.113.2,POST,401
203.0.113.2,POST,401
203.0.113.3,GET,200
203.0.113.4,DELETE,200
203.0.113.5,PUT,404
203.0.113.6,GET,500
203.0.113.7,POST,201
203.0.113.8,GET,200
203.0.113.9,PATCH,403
203.0.113.10,GET,200
203.0.113.11,POST,200
203.0.113.12,DELETE,404
203.0.113.13,GET,200
203.0.113.14,PUT,500
203.0.113.15,GET,200
203.0.113.16,POST,401
203.0.113.16,POST,401
203.0.113.17,GET,200
203.0.113.18,PATCH,200
203.0.113.19,GET,403
203.0.113.20,DELETE,200
198.51.100.1,GET,200
198.51.100.2,POST,201
198.51.100.3,GET,404
198.51.100.4,PUT,200
198.51.100.5,DELETE,403
198.51.100.6,GET,200
198.51.100.7,POST,500
198.51.100.8,GET,200
198.51.100.9,PATCH,200
198.51.100.10,GET,404
198.51.100.11,POST,401
198.51.100.11,POST,401
198.51.100.11,POST,401
198.51.100.12,DELETE,200
198.51.100.13,GET,200
198.51.100.14,PUT,403
198.51.100.15,GET,200
198.51.100.16,POST,201
198.51.100.17,GET,500
198.51.100.18,DELETE,200
198.51.100.19,PATCH,404
198.51.100.20,GET,200
192.168.2.1,GET,200
192.168.2.2,POST,401
192.168.2.2,POST,401
192.168.2.2,POST,401
192.168.2.3,GET,200
192.168.2.4,DELETE,404
192.168.2.5,PUT,200
192.168.2.6,GET,500
192.168.2.7,POST,201
192.168.2.8,GET,200
192.168.2.9,PATCH,403
192.168.2.10,GET,200
192.168.2.11,POST,200
192.168.2.12,DELETE,200
192.168.2.13,GET,404
192.168.2.14,PUT,200
192.168.2.15,GET,200
192.168.2.16,POST,500
192.168.2.17,GET,200
192.168.2.18,PATCH,401
192.168.2.18,PATCH,401
192.168.2.19,GET,200
192.168.2.20,DELETE,403
10.10.0.1,GET,200
10.10.0.2,POST,201
10.10.0.3,GET,404
10.10.0.4,PUT,200
10.10.0.5,DELETE,403
10.10.0.6,GET,200
10.10.0.7,POST,401
10.10.0.7,POST,401
10.10.0.7,POST,401
10.10.0.7,POST,401
10.10.0.8,GET,200
10.10.0.9,PATCH,500
10.10.0.10,GET,200
10.10.0.11,POST,200
10.10.0.12,DELETE,404
10.10.0.13,GET,200
10.10.0.14,PUT,403
10.10.0.15,GET,200
10.10.0.16,POST,201
10.10.0.17,GET,500
10.10.0.18,DELETE,200
10.10.0.19,PATCH,200
10.10.0.20,GET,404
10.20.0.1,GET,200
10.20.0.2,POST,401
10.20.0.2,POST,401
10.20.0.3,GET,200
10.20.0.4,DELETE,200
10.20.0.5,PUT,404
10.20.0.6,GET,500
10.20.0.7,POST,201
10.20.0.8,GET,200
10.20.0.9,PATCH,403
10.20.0.10,GET,200
10.20.0.11,POST,200
10.20.0.12,DELETE,404
10.20.0.13,GET,200
10.20.0.14,PUT,500
10.20.0.15,GET,200
10.20.0.16,POST,401
10.20.0.16,POST,401
10.20.0.16,POST,401
10.20.0.17,GET,200
10.20.0.18,PATCH,200
10.20.0.19,GET,403
10.20.0.20,DELETE,200
172.31.0.1,GET,200
172.31.0.2,POST,201
172.31.0.3,GET,404
172.31.0.4,PUT,200
172.31.0.5,DELETE,403
172.31.0.6,GET,200
172.31.0.7,POST,500
172.31.0.8,GET,200
172.31.0.9,PATCH,200
172.31.0.10,GET,404
172.31.0.11,POST,401
172.31.0.11,POST,401
172.31.0.11,POST,401
172.31.0.11,POST,401
172.31.0.12,DELETE,200
172.31.0.13,GET,200
172.31.0.14,PUT,403
172.31.0.15,GET,200
172.31.0.16,POST,201
172.31.0.17,GET,500
172.31.0.18,DELETE,200
172.31.0.19,PATCH,404
172.31.0.20,GET,200
192.168.3.1,GET,200
192.168.3.2,POST,401
192.168.3.2,POST,401
192.168.3.2,POST,401
192.168.3.3,GET,200
192.168.3.4,DELETE,404
192.168.3.5,PUT,200
192.168.3.6,GET,500
192.168.3.7,POST,201
192.168.3.8,GET,200
192.168.3.9,PATCH,403
192.168.3.10,GET,200
192.168.3.11,POST,200
192.168.3.12,DELETE,200
192.168.3.13,GET,404
192.168.3.14,PUT,200
192.168.3.15,GET,200
192.168.3.16,POST,500
192.168.3.17,GET,200
192.168.3.18,PATCH,200
192.168.3.19,GET,403
192.168.3.20,DELETE,200
192.168.4.1,GET,200
192.168.4.2,POST,201
192.168.4.3,GET,404
192.168.4.4,PUT,200
192.168.4.5,DELETE,403
192.168.4.6,GET,200
192.168.4.7,POST,401
192.168.4.7,POST,401
192.168.4.7,POST,401
192.168.4.8,GET,200
192.168.4.9,PATCH,500
192.168.4.10,GET,200
192.168.4.11,POST,200
192.168.4.12,DELETE,404
192.168.4.13,GET,200
192.168.4.14,PUT,403
192.168.4.15,GET,200
192.168.4.16,POST,201
192.168.4.17,GET,500
192.168.4.18,DELETE,200
192.168.4.19,PATCH,200
192.168.4.20,GET,404
